Year,Type,X Coordinate,Y Coordinate,Full Address,Latitude,Longitude
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,503,560.08","7,002,309.16",6243 MELODY LN 75231 DALLAS TX,32.8655651,-96.7571523
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,456,508.34","6,960,223.45",918 N BAGLEY ST 75211 DALLAS TX,32.752502,-96.912473
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,526,217.87","6,972,344.21",8039 CHARIOT DR 75227 DALLAS TX,32.7815887,-96.6853653
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,536,494.59","6,960,404.55",9913 BRUTON RD 75217 DALLAS TX,32.7491528,-96.6519678
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,526,388.79","6,981,274.34",1858 JOHN WEST RD 75228 DALLAS TX,32.806879,-96.6838847
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,499,374.31","6,938,460.86",2851 56TH ST 75241 DALLAS TX,32.6903889,-96.7742651
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,517,909.54","6,977,197.86",7728 CLAREMONT DR 75228 DALLAS TX,32.7959164,-96.7121778
2017,BURGLARY OF HABITATION (ATT),"2,501,887.91","7,025,583.42",13323 MAHAM RD 75240 DALLAS TX,32.9294975,-96.7631171
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,470,419.68","7,001,697.36",3535 WEBB CHAPEL EXT 75220 DALLAS TX,32.86549,-96.8656976
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,476,276.40","6,947,726.16",1719 MCADAMS AVE 75224 DALLAS TX,32.7168705,-96.8494432
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,497,763.19","7,027,638.69",13840 FAR HILLS LN 75240 DALLAS TX,32.935468,-96.7746416
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,531,620.55","6,981,526.59",2815 JOHN WEST RD 75228 DALLAS TX,32.8071722,-96.6666879
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,484,100.85","6,982,274.49",2525 ARROYO AVE 75219 DALLAS TX,32.8121317,-96.8211539
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,517,909.54","6,977,197.86",7728 CLAREMONT DR 75228 DALLAS TX,32.7959164,-96.7121778
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,522,607.05","6,974,440.99",4411 CINNABAR DR 75227 DALLAS TX,32.7878653,-96.6968549
